Дата;Номер;Сумма;Статус;Примечание;Комментарий;Контрагент;ИНН/КПП;Организация;ИНН/КПП;Тип документа;Имя файла;Дата;Номер;Сумма;Сумма НДС;Ответственный;Подразделение;Код;Дата;Время;Тип пакета;Идентификатор пакета;Запущено в обработку;Получено контрагентом;Завершено;Увеличение суммы;НДС;Уменьшение суммы;НДС
30.09.2021;БРН00709545;4 056,46;Выполнение завершено успешно;;БРН00709545 на сумму 4 056,46р.;Пульс Брянск, ООО;3255510243 / 325701001;ООО Рога и Копыта;4025419873 / 402501001;ЭДОНакл;DP_TOVTORGPR_2BE911035223f7011e2addf005056917125_2BE692ffbaa8a4711e39c98005056917125_20210930_75b0f1b8-222e-11ec-b9bc-00e0ed9e2e98.xml;30.09.2021;БРН00709545;4 056,46;368,77;;Аптека №1;3;30.09.2021;23:40:56;ДокОтгрВх;76210df0-7c48-4e6d-ad2b-6cbe2f3b7722;30.09.2021 23:40;01.10.2021 8:39;01.10.2021 14:59;0;0;0;0
30.09.2021;БРН00709545;4 056,46;Выполнение завершено успешно;;БРН00709545 на сумму 4 056,46р.;Пульс Брянск, ООО;3255510243 / 325701001;ООО Рога и Копыта;4025419873 / 402501001;СчФктр;ON_NSCHFDOPPR_2BE911035223f7011e2addf005056917125_2BE692ffbaa8a4711e39c98005056917125_20210930_75b0f1b8-222e-11ec-b9bc-00e0ed9e2e98.xml;30.09.2021;БРН00709545;4 056,46;368,77;;Аптека №1;3;30.09.2021;23:40:56;ДокОтгрВх;76210df0-7c48-4e6d-ad2b-6cbe2f3b7722;;;;0;0;0;0
30.09.2021;БРН00709545;0;Выполнение завершено успешно;;БРН00709545 на сумму 4 056,46р.;Пульс Брянск, ООО;3255510243 / 325701001;ООО Рога и Копыта;4025419873 / 402501001;ЭДОРеестрСертификатов;SE_RSERT_3255510243325701001_4025419873402501001_20210930_75b0f1b8-222e-11ec-b9bc-00e0ed9e2e98.xml;;;0;0;;Аптека №1;3;30.09.2021;23:40:56;ДокОтгрВх;76210df0-7c48-4e6d-ad2b-6cbe2f3b7722;;;;0;0;0;0
30.09.2021;БРН00709520;54 705,65;Выполнение завершено успешно;;БРН00709520 на сумму 54 705,65р.;Пульс Брянск, ООО;3255510243 / 325701001;ООО Рога и Копыта;4025419873 / 402501001;ЭДОНакл;DP_TOVTORGPR_2BE911035223f7011e2addf005056917125_2BE692ffbaa8a4711e39c98005056917125_20210930_cf4dcf0a-222d-11ec-b9bc-00e0ed9e2e98.xml;30.09.2021;БРН00709520;54 705,65;4 973,27;;Аптека №2;6;30.09.2021;23:34:51;ДокОтгрВх;1cfdcbd4-a43b-4543-90b6-59d0e6095b94;30.09.2021 23:34;01.10.2021 8:39;01.10.2021 14:59;0;0;0;0
30.09.2021;БРН00709520;54 705,65;Выполнение завершено успешно;;БРН00709520 на сумму 54 705,65р.;Пульс Брянск, ООО;3255510243 / 325701001;ООО Рога и Копыта;4025419873 / 402501001;СчФктр;ON_NSCHFDOPPR_2BE911035223f7011e2addf005056917125_2BE692ffbaa8a4711e39c98005056917125_20210930_cf4dcf0a-222d-11ec-b9bc-00e0ed9e2e98.xml;30.09.2021;БРН00709520;54 705,65;4 973,27;;Аптека №2;6;30.09.2021;23:34:51;ДокОтгрВх;1cfdcbd4-a43b-4543-90b6-59d0e6095b94;;;;0;0;0;0
30.09.2021;БРН00709520;0;Выполнение завершено успешно;;БРН00709520 на сумму 54 705,65р.;Пульс Брянск, ООО;3255510243 / 325701001;ООО Рога и Копыта;4025419873 / 402501001;ЭДОРеестрСертификатов;SE_RSERT_3255510243325701001_4025419873402501001_20210930_cf4dcf0a-222d-11ec-b9bc-00e0ed9e2e98.xml;;;0;0;;Аптека №2;6;30.09.2021;23:34:51;ДокОтгрВх;1cfdcbd4-a43b-4543-90b6-59d0e6095b94;;;;0;0;0;0
30.09.2021;БРН00709520;0;Выполнение завершено успешно;;БРН00709520 на сумму 54 705,65р.;Пульс Брянск, ООО;3255510243 / 325701001;ООО Рога и Копыта;4025419873 / 402501001;ПротЦен;ON_PROTCEN__20210930_cf4dcf0a-222d-11ec-b9bc-00e0ed9e2e98.xml;30.09.2021;;0;0;;Аптека №2;6;30.09.2021;23:34:51;ДокОтгрВх;1cfdcbd4-a43b-4543-90b6-59d0e6095b94;;;;0;0;0;0
30.09.2021;БРН00709519;5 890,95;Выполнение завершено успешно;;БРН00709519 на сумму 5 890,95р.;Пульс Брянск, ООО;3255510243 / 325701001;ООО Рога и Копыта;4025419873 / 402501001;ЭДОНакл;DP_TOVTORGPR_2BE911035223f7011e2addf005056917125_2BE692ffbaa8a4711e39c98005056917125_20210930_cf4dcf07-222d-11ec-b9bc-00e0ed9e2e98.xml;30.09.2021;БРН00709519;5 890,95;490,76;;Аптека №2;6;30.09.2021;23:34:51;ДокОтгрВх;cc4356f7-1ded-4244-9eb0-588be6c8d99c;30.09.2021 23:34;01.10.2021 8:38;01.10.2021 14:59;0;0;0;0
30.09.2021;БРН00709519;5 890,95;Выполнение завершено успешно;;БРН00709519 на сумму 5 890,95р.;Пульс Брянск, ООО;3255510243 / 325701001;ООО Рога и Копыта;4025419873 / 402501001;СчФктр;ON_NSCHFDOPPR_2BE911035223f7011e2addf005056917125_2BE692ffbaa8a4711e39c98005056917125_20210930_cf4dcf07-222d-11ec-b9bc-00e0ed9e2e98.xml;30.09.2021;БРН00709519;5 890,95;490,76;;Аптека №2;6;30.09.2021;23:34:51;ДокОтгрВх;cc4356f7-1ded-4244-9eb0-588be6c8d99c;;;;0;0;0;0
30.09.2021;БРН00709519;0;Выполнение завершено успешно;;БРН00709519 на сумму 5 890,95р.;Пульс Брянск, ООО;3255510243 / 325701001;ООО Рога и Копыта;4025419873 / 402501001;ЭДОРеестрСертификатов;SE_RSERT_3255510243325701001_4025419873402501001_20210930_cf4dcf07-222d-11ec-b9bc-00e0ed9e2e98.xml;;;0;0;;Аптека №2;6;30.09.2021;23:34:51;ДокОтгрВх;cc4356f7-1ded-4244-9eb0-588be6c8d99c;;;;0;0;0;0
